run_alias,_timestamp,_runtime,gpu_0_sm_active,gpu_1_sm_active,gpu_2_sm_active,gpu_3_sm_active,gpu_4_sm_active,gpu_5_sm_active,gpu_6_sm_active,gpu_7_sm_active,gpu_0_power_watts,gpu_1_power_watts,gpu_2_power_watts,gpu_3_power_watts,gpu_4_power_watts,gpu_5_power_watts,gpu_6_power_watts,gpu_7_power_watts
streamweave,1783610856.582294,3827.399838089,,,,,,,,,,,,,,,,
streamweave,1783610856.7827878,3827.600331825,92.52300287320261,94.2006237144852,72.28962088027887,74.75205403496453,72.36751600726872,73.9163881980796,73.05560994116328,72.31399991861764,908.221,900.901,636.997,648.53,650.182,648.908,651.029,647.112
streamweave,1783610871.582263,3842.399806892,,,,,,,,,,,,,,,,
streamweave,1783610871.7825475,3842.600091564,3.814415379167096,18.551468061173836,66.68087382553885,66.27866715557967,64.62424862313289,65.40396982460356,61.10636212071019,64.74138451724608,503.944,488.961,548.378,547.636,537.778,543.825,515.786,534.933
streamweave,1783610886.5827,3857.400244011,,,,,,,,,,,,,,,,
streamweave,1783610886.7830873,3857.600631189,86.93169721180729,88.62497703051979,73.9640323817086,72.3349345342521,73.38763705505144,72.82869780966287,73.10930711968683,73.35894485898652,538.397,525.401,652.567,648.318,657.56,656.496,658.134,662.766
streamweave,1783610901.5820024,3872.399546412,,,,,,,,,,,,,,,,
streamweave,1783610901.7824612,3872.600005167,91.97357119391441,87.92919882387501,67.3854519373541,66.49268852049318,66.24056140965706,66.25558486441128,66.39998997343358,66.74454810332516,892.832,888.773,554.545,578.656,552.946,553.876,558.101,552.583
streamweave,1783610916.5820851,3887.399629213,,,,,,,,,,,,,,,,
streamweave,1783610916.7823985,3887.59994238,0,0,77.13090275564909,69.10702158980236,74.4079981315073,77.3242579750072,68.60429039950961,72.61194221195466,573.245,527.661,658.638,582.641,667.08,675.441,632.592,647.094
streamweave,1783610931.5827456,3902.40028961,,,,,,,,,,,,,,,,
streamweave,1783610931.7831414,3902.600685471,0,0,65.89864842605868,66.4325401481325,65.2366669615302,68.60363245619638,66.57032684338279,65.9644811077187,272.781,253.317,568.305,569.621,573.59,593.552,561.121,568.025
streamweave,1783610946.5820282,3917.399572032,,,,,,,,,,,,,,,,
streamweave,1783610946.7823713,3917.599915374,92.34195656710497,88.99174228827769,68.68096036478832,69.14123550379026,70.04527259239745,69.02857529356278,68.92049344269834,68.88720010844558,893.165,873.539,597.666,600.979,625.443,619.329,596.476,597.535
streamweave,1783610961.5826054,3932.400149251,,,,,,,,,,,,,,,,
streamweave,1783610961.783042,3932.600585842,88.77251026997884,86.34683010208542,64.60073297680255,73.97921006999714,71.06102882641929,72.1889402754828,70.94591446399076,72.88916581238276,908.441,878.751,650.328,666.268,668.622,662.783,661.433,667.376
streamweave,1783610976.5824568,3947.400000866,,,,,,,,,,,,,,,,
streamweave,1783610976.7839646,3947.601508614,83.56882686123618,88.97944277093511,68.80285590622009,66.57598575718856,62.61349873071418,66.8310825347281,66.78219051799016,65.94071103051787,933.652,903.988,592.274,547.946,532.601,569.934,565.279,545.482
streamweave,1783610991.5820467,3962.399590715,,,,,,,,,,,,,,,,
streamweave,1783610991.7824905,3962.600034517,92.58277441990678,91.04618825926943,63.14432084591051,71.77938189360566,71.16063165073992,68.64630329170932,72.41188769834702,73.04585646695682,906.13,895.005,614.902,655.862,660.074,669.971,660.591,662.804
streamweave,1783611006.582232,3977.399776,,,,,,,,,,,,,,,,
streamweave,1783611006.782524,3977.600068065,90.39390437374959,89.09601106557675,71.47420468866028,70.53989088728588,71.91391501909892,74.18136609021869,71.63769355720379,75.58301118307577,917.699,900.773,629.997,636.736,653.017,658.69,645.014,667.793
streamweave,1783611021.5826118,3992.400155901,,,,,,,,,,,,,,,,
